,BYOL,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.560 +/- 0.098,0.480 +/- 0.095,0.080,0.353 +/- 0.300,0.540 +/- 0.565,-0.187
448,0.699 +/- 0.092,0.565 +/- 0.115,0.135,0.602 +/- 0.809,0.859 +/- 1.076,-0.257
672,0.777 +/- 0.061,0.616 +/- 0.120,0.161,0.419 +/- 0.349,0.681 +/- 0.604,-0.262
896,0.827 +/- 0.061,0.641 +/- 0.134,0.187,0.212 +/- 0.120,0.526 +/- 0.426,-0.314
1120,0.803 +/- 0.054,0.612 +/- 0.142,0.191,0.254 +/- 0.216,0.587 +/- 0.513,-0.333
,,,,,,
,BarlowTwins,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.814 +/- 0.102,0.509 +/- 0.123,0.304,0.369 +/- 0.350,1.013 +/- 0.751,-0.644
448,0.958 +/- 0.029,0.648 +/- 0.096,0.310,0.038 +/- 0.040,0.324 +/- 0.165,-0.286
672,0.989 +/- 0.008,0.798 +/- 0.054,0.191,0.008 +/- 0.005,0.153 +/- 0.047,-0.145
896,0.993 +/- 0.004,0.870 +/- 0.039,0.122,0.005 +/- 0.003,0.100 +/- 0.032,-0.094
1120,0.992 +/- 0.005,0.866 +/- 0.037,0.126,0.004 +/- 0.003,0.079 +/- 0.024,-0.074
,,,,,,
,MoCo,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.587 +/- 0.058,0.518 +/- 0.063,0.069,0.002 +/- 0.001,0.002 +/- 0.001,-0.000
448,0.873 +/- 0.033,0.814 +/- 0.051,0.059,0.013 +/- 0.004,0.020 +/- 0.007,-0.006
672,0.868 +/- 0.033,0.787 +/- 0.050,0.081,0.043 +/- 0.011,0.070 +/- 0.019,-0.027
896,0.847 +/- 0.033,0.767 +/- 0.050,0.080,0.062 +/- 0.019,0.095 +/- 0.030,-0.033
1120,0.828 +/- 0.047,0.723 +/- 0.066,0.105,0.089 +/- 0.035,0.142 +/- 0.051,-0.054
,,,,,,
,SimCLR,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.740 +/- 0.146,0.444 +/- 0.137,0.296,0.173 +/- 0.377,0.507 +/- 0.935,-0.334
448,0.919 +/- 0.028,0.667 +/- 0.091,0.252,0.060 +/- 0.026,0.240 +/- 0.080,-0.180
672,0.958 +/- 0.015,0.730 +/- 0.082,0.228,0.037 +/- 0.016,0.222 +/- 0.080,-0.185
896,0.967 +/- 0.010,0.766 +/- 0.077,0.201,0.025 +/- 0.008,0.179 +/- 0.066,-0.154
1120,0.972 +/- 0.011,0.763 +/- 0.080,0.209,0.022 +/- 0.007,0.186 +/- 0.067,-0.164
,,,,,,
,SimSiam,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.856 +/- 0.096,0.621 +/- 0.171,0.235,0.177 +/- 2.477,0.204 +/- 2.507,-0.027
448,0.895 +/- 0.070,0.578 +/- 0.192,0.317,0.132 +/- 0.376,1.314 +/- 2.970,-1.182
672,0.902 +/- 0.050,0.611 +/- 0.209,0.290,0.125 +/- 0.188,0.716 +/- 0.954,-0.590
896,0.916 +/- 0.041,0.632 +/- 0.211,0.284,0.101 +/- 0.072,0.944 +/- 1.344,-0.843
1120,0.849 +/- 0.045,0.666 +/- 0.134,0.184,0.169 +/- 0.066,0.444 +/- 0.264,-0.275
,,,,,,
,TripletBig,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.877 +/- 0.040,0.753 +/- 0.061,0.124,0.001 +/- 0.001,0.002 +/- 0.001,-0.001
448,0.974 +/- 0.012,0.873 +/- 0.042,0.101,0.004 +/- 0.002,0.019 +/- 0.010,-0.015
672,0.977 +/- 0.011,0.868 +/- 0.040,0.109,0.006 +/- 0.004,0.036 +/- 0.018,-0.030
896,0.979 +/- 0.010,0.866 +/- 0.043,0.114,0.007 +/- 0.005,0.050 +/- 0.022,-0.043
1120,0.968 +/- 0.020,0.825 +/- 0.055,0.143,0.012 +/- 0.006,0.068 +/- 0.027,-0.057
,,,,,,
,Triplet,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.891 +/- 0.047,0.702 +/- 0.086,0.189,0.153 +/- 0.063,0.428 +/- 0.152,-0.275
448,0.951 +/- 0.026,0.744 +/- 0.085,0.207,0.096 +/- 0.050,0.510 +/- 0.195,-0.413
672,0.950 +/- 0.022,0.742 +/- 0.084,0.208,0.107 +/- 0.047,0.577 +/- 0.261,-0.470
896,0.924 +/- 0.031,0.712 +/- 0.090,0.211,0.146 +/- 0.065,0.559 +/- 0.227,-0.413
1120,0.922 +/- 0.029,0.728 +/- 0.097,0.193,0.170 +/- 0.074,0.610 +/- 0.317,-0.441
,,,,,,
