,BYOL,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.378 +/- 0.100,0.366 +/- 0.084,0.012,0.418 +/- 0.098,0.446 +/- 0.151,-0.029
448,0.579 +/- 0.073,0.537 +/- 0.059,0.042,0.182 +/- 0.124,0.222 +/- 0.191,-0.039
672,0.612 +/- 0.059,0.544 +/- 0.075,0.067,0.161 +/- 0.075,0.202 +/- 0.123,-0.040
896,0.671 +/- 0.063,0.619 +/- 0.077,0.052,0.147 +/- 0.041,0.174 +/- 0.066,-0.027
1120,0.731 +/- 0.046,0.679 +/- 0.069,0.053,0.151 +/- 0.038,0.191 +/- 0.076,-0.040
,,,,,,
,BarlowTwins,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.720 +/- 0.068,0.639 +/- 0.090,0.081,0.291 +/- 0.171,0.405 +/- 0.340,-0.114
448,0.929 +/- 0.052,0.819 +/- 0.117,0.110,0.045 +/- 0.100,0.116 +/- 0.171,-0.071
672,0.972 +/- 0.014,0.916 +/- 0.045,0.056,0.013 +/- 0.008,0.041 +/- 0.027,-0.028
896,0.979 +/- 0.009,0.950 +/- 0.023,0.029,0.012 +/- 0.005,0.029 +/- 0.015,-0.017
1120,0.989 +/- 0.007,0.955 +/- 0.025,0.034,0.005 +/- 0.003,0.020 +/- 0.012,-0.015
,,,,,,
,MoCo,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.508 +/- 0.036,0.495 +/- 0.032,0.013,0.002 +/- 0.000,0.002 +/- 0.000,-0.000
448,0.821 +/- 0.027,0.808 +/- 0.027,0.012,0.018 +/- 0.003,0.019 +/- 0.003,-0.001
672,0.805 +/- 0.025,0.780 +/- 0.036,0.025,0.061 +/- 0.009,0.069 +/- 0.013,-0.008
896,0.760 +/- 0.030,0.728 +/- 0.041,0.033,0.098 +/- 0.013,0.112 +/- 0.022,-0.014
1120,0.677 +/- 0.032,0.636 +/- 0.038,0.041,0.138 +/- 0.014,0.156 +/- 0.021,-0.018
,,,,,,
,SimCLR,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.601 +/- 0.091,0.525 +/- 0.063,0.076,0.082 +/- 0.098,0.109 +/- 0.203,-0.027
448,0.904 +/- 0.027,0.798 +/- 0.058,0.106,0.045 +/- 0.014,0.099 +/- 0.043,-0.053
672,0.945 +/- 0.018,0.841 +/- 0.056,0.104,0.026 +/- 0.010,0.078 +/- 0.037,-0.052
896,0.953 +/- 0.014,0.853 +/- 0.051,0.100,0.023 +/- 0.009,0.075 +/- 0.034,-0.052
1120,0.942 +/- 0.016,0.859 +/- 0.044,0.084,0.031 +/- 0.010,0.077 +/- 0.029,-0.046
,,,,,,
,SimSiam,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.656 +/- 0.102,0.619 +/- 0.095,0.038,0.017 +/- 0.006,0.019 +/- 0.008,-0.002
448,0.804 +/- 0.051,0.731 +/- 0.093,0.073,0.037 +/- 0.017,0.055 +/- 0.038,-0.018
672,0.791 +/- 0.061,0.689 +/- 0.106,0.102,0.065 +/- 0.027,0.099 +/- 0.070,-0.034
896,0.814 +/- 0.049,0.743 +/- 0.085,0.071,0.088 +/- 0.027,0.124 +/- 0.068,-0.036
1120,0.695 +/- 0.062,0.669 +/- 0.058,0.026,0.133 +/- 0.031,0.147 +/- 0.036,-0.013
,,,,,,
,TripletBig,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.817 +/- 0.042,0.776 +/- 0.032,0.042,0.001 +/- 0.000,0.001 +/- 0.001,-0.000
448,0.957 +/- 0.016,0.919 +/- 0.027,0.038,0.002 +/- 0.001,0.005 +/- 0.004,-0.003
672,0.946 +/- 0.016,0.908 +/- 0.027,0.039,0.005 +/- 0.001,0.010 +/- 0.005,-0.005
896,0.963 +/- 0.013,0.916 +/- 0.034,0.047,0.005 +/- 0.002,0.014 +/- 0.009,-0.009
1120,0.960 +/- 0.015,0.916 +/- 0.043,0.045,0.009 +/- 0.003,0.019 +/- 0.012,-0.011
,,,,,,
,Triplet,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.806 +/- 0.041,0.751 +/- 0.051,0.055,0.205 +/- 0.037,0.271 +/- 0.076,-0.066
448,0.896 +/- 0.045,0.819 +/- 0.080,0.077,0.135 +/- 0.056,0.248 +/- 0.133,-0.113
672,0.929 +/- 0.025,0.848 +/- 0.073,0.081,0.112 +/- 0.041,0.242 +/- 0.146,-0.131
896,0.894 +/- 0.028,0.826 +/- 0.075,0.068,0.304 +/- 0.107,0.467 +/- 0.207,-0.163
1120,0.907 +/- 0.033,0.851 +/- 0.067,0.055,0.230 +/- 0.100,0.370 +/- 0.193,-0.139
,,,,,,
