,BYOL,,,
,linear,XGBoost,MLP,RF
224,50.35% +/-0.60,54.52% +/-2.89,63.01% +/-3.10,48.98% +/-0.86
448,48.99% +/-1.47,60.62% +/-3.79,63.52% +/-5.47,60.67% +/-1.90
672,50.48% +/-1.95,64.71% +/-4.16,75.94% +/-4.79,73.30% +/-2.99
896,48.26% +/-3.40,62.06% +/-5.51,73.71% +/-5.12,69.64% +/-3.73
1120,47.19% +/-3.74,57.06% +/-5.84,49.38% +/-8.12,60.53% +/-6.05
,,,,
,BarlowTwins,,,
,linear,XGBoost,MLP,RF
224,50.20% +/-1.64,67.26% +/-3.28,75.64% +/-3.10,74.36% +/-1.09
448,50.70% +/-1.20,80.85% +/-3.10,85.31% +/-2.89,89.41% +/-1.42
672,48.70% +/-2.10,80.71% +/-4.53,76.38% +/-11.71,84.20% +/-2.47
896,49.64% +/-2.75,80.61% +/-4.59,71.74% +/-12.54,81.88% +/-3.49
1120,45.78% +/-4.15,84.06% +/-6.41,71.19% +/-14.37,84.81% +/-4.96
,,,,
,MoCo,,,
,linear,XGBoost,MLP,RF
224,50.22% +/-0.62,63.33% +/-3.15,69.53% +/-3.96,71.20% +/-1.14
448,50.48% +/-1.57,63.57% +/-2.97,61.13% +/-7.33,68.89% +/-2.04
672,51.99% +/-1.91,64.44% +/-4.47,68.28% +/-9.55,70.61% +/-3.34
896,50.74% +/-2.85,62.83% +/-5.16,70.18% +/-11.29,66.08% +/-4.42
1120,54.09% +/-4.37,62.72% +/-7.29,69.38% +/-12.45,68.59% +/-6.10
,,,,
,SimCLR,,,
,linear,XGBoost,MLP,RF
224,50.13% +/-0.62,68.29% +/-3.16,76.95% +/-3.32,76.09% +/-1.02
448,49.39% +/-1.17,78.62% +/-4.34,85.66% +/-4.40,85.31% +/-1.99
672,51.92% +/-2.45,80.57% +/-4.41,85.16% +/-7.40,83.26% +/-2.87
896,51.28% +/-3.10,81.32% +/-4.85,80.24% +/-12.54,78.61% +/-3.44
1120,48.53% +/-5.27,82.09% +/-5.88,80.88% +/-14.27,80.16% +/-5.75
,,,,
,SimSiam,,,
,linear,XGBoost,MLP,RF
224,49.89% +/-0.61,60.92% +/-2.51,71.67% +/-2.03,63.57% +/-0.78
448,48.32% +/-1.62,68.01% +/-4.57,78.98% +/-3.06,75.74% +/-2.15
672,51.52% +/-1.97,66.66% +/-4.09,80.13% +/-3.19,75.17% +/-3.34
896,50.03% +/-2.48,64.53% +/-5.10,78.71% +/-4.79,73.15% +/-3.79
1120,54.00% +/-3.93,59.59% +/-6.72,67.72% +/-7.93,62.38% +/-5.38
,,,,
,TripletBig,,,
,linear,XGBoost,MLP,RF
224,49.94% +/-0.85,73.98% +/-1.59,81.60% +/-2.43,77.96% +/-0.99
448,50.71% +/-1.42,78.90% +/-2.19,86.77% +/-4.47,84.07% +/-1.88
672,51.07% +/-2.00,77.97% +/-3.70,82.88% +/-7.45,80.89% +/-2.49
896,51.57% +/-2.38,77.67% +/-4.65,80.06% +/-10.52,79.42% +/-3.32
1120,48.53% +/-4.13,81.50% +/-6.23,77.34% +/-12.78,84.62% +/-5.64
,,,,
,Triplet,,,
,linear,XGBoost,MLP,RF
224,49.81% +/-0.66,77.33% +/-1.85,81.54% +/-2.62,84.15% +/-0.75
448,50.48% +/-1.58,81.33% +/-2.94,90.50% +/-2.76,88.97% +/-1.62
672,50.39% +/-1.76,77.06% +/-3.84,88.61% +/-4.60,81.74% +/-2.89
896,50.56% +/-2.68,73.10% +/-5.25,81.46% +/-4.30,75.71% +/-3.59
1120,51.28% +/-4.51,71.84% +/-6.65,83.94% +/-6.09,74.03% +/-5.60
,,,,
