,BYOL,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.454 +/- 0.083,0.435 +/- 0.082,0.019,0.418 +/- 0.114,0.440 +/- 0.144,-0.022
448,0.724 +/- 0.056,0.642 +/- 0.078,0.082,0.116 +/- 0.059,0.166 +/- 0.095,-0.050
672,0.786 +/- 0.046,0.661 +/- 0.098,0.124,0.080 +/- 0.046,0.138 +/- 0.077,-0.058
896,0.857 +/- 0.033,0.770 +/- 0.078,0.087,0.061 +/- 0.027,0.103 +/- 0.055,-0.042
1120,0.822 +/- 0.034,0.697 +/- 0.105,0.125,0.114 +/- 0.040,0.185 +/- 0.094,-0.071
,,,,,,
,BarlowTwins,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.763 +/- 0.071,0.626 +/- 0.095,0.138,0.295 +/- 0.131,0.518 +/- 0.375,-0.223
448,0.952 +/- 0.035,0.741 +/- 0.104,0.211,0.034 +/- 0.032,0.201 +/- 0.246,-0.167
672,0.982 +/- 0.011,0.879 +/- 0.044,0.103,0.010 +/- 0.006,0.067 +/- 0.031,-0.057
896,0.987 +/- 0.007,0.927 +/- 0.026,0.060,0.008 +/- 0.004,0.044 +/- 0.017,-0.036
1120,0.992 +/- 0.004,0.919 +/- 0.020,0.073,0.004 +/- 0.002,0.039 +/- 0.011,-0.036
,,,,,,
,MoCo,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.547 +/- 0.043,0.519 +/- 0.035,0.028,0.002 +/- 0.000,0.002 +/- 0.000,-0.000
448,0.884 +/- 0.023,0.856 +/- 0.027,0.028,0.011 +/- 0.002,0.014 +/- 0.003,-0.003
672,0.869 +/- 0.028,0.811 +/- 0.040,0.058,0.040 +/- 0.009,0.057 +/- 0.014,-0.018
896,0.860 +/- 0.023,0.809 +/- 0.033,0.052,0.054 +/- 0.010,0.074 +/- 0.014,-0.020
1120,0.820 +/- 0.026,0.713 +/- 0.062,0.107,0.073 +/- 0.013,0.115 +/- 0.025,-0.043
,,,,,,
,SimCLR,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.665 +/- 0.115,0.539 +/- 0.088,0.126,0.092 +/- 0.127,0.146 +/- 0.238,-0.054
448,0.934 +/- 0.018,0.773 +/- 0.058,0.161,0.040 +/- 0.020,0.129 +/- 0.054,-0.088
672,0.952 +/- 0.023,0.784 +/- 0.066,0.169,0.029 +/- 0.014,0.124 +/- 0.049,-0.095
896,0.971 +/- 0.012,0.805 +/- 0.064,0.166,0.017 +/- 0.006,0.118 +/- 0.052,-0.101
1120,0.964 +/- 0.010,0.794 +/- 0.064,0.169,0.023 +/- 0.006,0.136 +/- 0.050,-0.113
,,,,,,
,SimSiam,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.724 +/- 0.094,0.669 +/- 0.093,0.055,0.016 +/- 0.006,0.019 +/- 0.009,-0.004
448,0.861 +/- 0.053,0.747 +/- 0.111,0.114,0.032 +/- 0.019,0.061 +/- 0.047,-0.029
672,0.848 +/- 0.070,0.664 +/- 0.139,0.184,0.047 +/- 0.026,0.112 +/- 0.072,-0.066
896,0.860 +/- 0.062,0.696 +/- 0.100,0.164,0.056 +/- 0.022,0.145 +/- 0.077,-0.089
1120,0.777 +/- 0.058,0.675 +/- 0.100,0.102,0.116 +/- 0.032,0.178 +/- 0.076,-0.062
,,,,,,
,TripletBig,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.837 +/- 0.043,0.774 +/- 0.040,0.063,0.001 +/- 0.000,0.001 +/- 0.001,-0.000
448,0.971 +/- 0.009,0.908 +/- 0.030,0.063,0.002 +/- 0.001,0.008 +/- 0.005,-0.006
672,0.969 +/- 0.011,0.907 +/- 0.024,0.061,0.004 +/- 0.001,0.013 +/- 0.005,-0.009
896,0.975 +/- 0.010,0.898 +/- 0.023,0.077,0.004 +/- 0.002,0.021 +/- 0.008,-0.016
1120,0.977 +/- 0.012,0.862 +/- 0.047,0.115,0.007 +/- 0.004,0.046 +/- 0.026,-0.039
,,,,,,
,Triplet,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.860 +/- 0.037,0.770 +/- 0.062,0.090,0.164 +/- 0.041,0.278 +/- 0.096,-0.115
448,0.951 +/- 0.021,0.822 +/- 0.068,0.130,0.071 +/- 0.031,0.264 +/- 0.119,-0.193
672,0.950 +/- 0.022,0.811 +/- 0.062,0.139,0.081 +/- 0.035,0.314 +/- 0.123,-0.233
896,0.927 +/- 0.029,0.772 +/- 0.081,0.155,0.166 +/- 0.058,0.527 +/- 0.232,-0.361
1120,0.931 +/- 0.023,0.817 +/- 0.064,0.114,0.163 +/- 0.061,0.430 +/- 0.189,-0.267
,,,,,,
