,BYOL,,,
,linear,XGBoost,MLP,RF
224,50.43% +/-0.30,64.08% +/-2.07,71.87% +/-2.39,66.38% +/-0.60
448,49.39% +/-0.61,66.79% +/-2.22,75.56% +/-3.73,73.42% +/-0.83
672,49.80% +/-0.89,62.71% +/-2.23,71.02% +/-4.48,69.02% +/-1.31
896,49.49% +/-1.00,60.81% +/-2.60,74.44% +/-3.28,63.68% +/-1.64
1120,49.42% +/-1.26,57.27% +/-2.84,70.18% +/-5.35,57.73% +/-1.64
,,,,
,BarlowTwins,,,
,linear,XGBoost,MLP,RF
224,49.42% +/-0.51,76.18% +/-2.57,86.45% +/-2.12,85.21% +/-0.38
448,50.45% +/-0.76,82.66% +/-2.28,88.28% +/-2.95,89.71% +/-0.66
672,50.21% +/-0.72,84.72% +/-2.71,79.51% +/-12.03,89.28% +/-1.06
896,49.60% +/-1.79,82.61% +/-3.34,74.77% +/-13.08,83.08% +/-1.57
1120,49.01% +/-1.76,84.45% +/-3.12,70.83% +/-12.79,80.67% +/-2.14
,,,,
,MoCo,,,
,linear,XGBoost,MLP,RF
224,50.14% +/-0.44,68.12% +/-3.79,77.37% +/-2.60,73.43% +/-0.50
448,49.08% +/-0.47,68.73% +/-1.88,69.97% +/-8.53,75.07% +/-0.81
672,49.18% +/-0.60,66.82% +/-2.18,70.49% +/-9.48,71.66% +/-1.34
896,50.10% +/-0.92,63.92% +/-2.37,68.49% +/-9.64,67.73% +/-2.04
1120,50.03% +/-1.06,62.26% +/-2.92,65.38% +/-9.71,65.64% +/-2.08
,,,,
,SimCLR,,,
,linear,XGBoost,MLP,RF
224,49.80% +/-0.25,74.82% +/-2.55,86.82% +/-2.55,86.75% +/-0.39
448,50.41% +/-0.65,81.82% +/-3.10,88.45% +/-4.43,87.48% +/-0.63
672,49.15% +/-0.89,82.30% +/-2.92,86.13% +/-7.74,83.98% +/-1.20
896,49.84% +/-1.07,81.10% +/-3.25,82.68% +/-11.01,79.18% +/-1.87
1120,50.11% +/-1.24,79.65% +/-3.86,77.94% +/-12.00,71.11% +/-2.43
,,,,
,SimSiam,,,
,linear,XGBoost,MLP,RF
224,50.19% +/-0.33,67.23% +/-2.45,80.30% +/-2.40,71.78% +/-0.37
448,50.05% +/-0.50,70.61% +/-2.97,84.83% +/-1.52,80.00% +/-0.62
672,50.37% +/-0.72,69.43% +/-3.13,84.48% +/-2.31,78.68% +/-1.15
896,49.83% +/-1.75,68.22% +/-3.22,83.19% +/-3.97,76.66% +/-1.64
1120,49.77% +/-1.30,59.93% +/-2.46,71.15% +/-5.24,66.96% +/-2.26
,,,,
,TripletBig,,,
,linear,XGBoost,MLP,RF
224,50.17% +/-0.31,76.53% +/-1.59,89.54% +/-1.55,80.97% +/-0.31
448,49.60% +/-0.69,80.20% +/-1.87,89.71% +/-4.14,86.31% +/-0.59
672,50.10% +/-0.72,80.46% +/-2.18,85.64% +/-6.15,86.24% +/-1.15
896,50.15% +/-0.90,77.65% +/-2.50,79.73% +/-9.07,84.42% +/-1.36
1120,49.36% +/-0.97,77.45% +/-2.49,77.30% +/-9.69,81.45% +/-1.56
,,,,
,Triplet,,,
,linear,XGBoost,MLP,RF
224,50.01% +/-0.22,80.97% +/-1.32,89.39% +/-1.09,89.40% +/-0.27
448,50.32% +/-0.55,82.81% +/-1.60,92.57% +/-1.73,91.00% +/-0.50
672,49.89% +/-0.76,80.27% +/-1.80,89.85% +/-2.96,86.31% +/-1.03
896,49.17% +/-1.22,74.70% +/-2.38,84.55% +/-2.61,79.01% +/-1.51
1120,50.14% +/-1.19,69.60% +/-2.19,77.15% +/-3.15,71.17% +/-1.68
,,,,
