,BYOL,,,
,linear,XGBoost,MLP,RF
224,50.97% +/-0.33,53.32% +/-1.57,53.39% +/-2.04,52.79% +/-0.34
448,49.84% +/-0.52,57.30% +/-2.42,59.76% +/-3.67,57.77% +/-0.87
672,50.31% +/-1.07,60.45% +/-2.85,66.24% +/-4.48,68.54% +/-1.90
896,48.74% +/-1.17,56.99% +/-2.45,65.38% +/-2.41,63.79% +/-2.04
1120,49.76% +/-1.52,55.41% +/-3.28,59.42% +/-4.82,59.35% +/-2.36
,,,,
,BarlowTwins,,,
,linear,XGBoost,MLP,RF
224,51.53% +/-0.41,60.95% +/-2.26,65.71% +/-2.48,67.69% +/-0.64
448,50.07% +/-1.15,67.28% +/-2.68,69.39% +/-2.14,73.17% +/-0.71
672,50.43% +/-1.17,68.81% +/-3.32,64.33% +/-7.39,66.28% +/-1.44
896,49.65% +/-1.08,66.84% +/-3.01,60.97% +/-6.62,65.95% +/-1.64
1120,49.13% +/-1.45,67.81% +/-3.95,60.61% +/-7.50,59.89% +/-1.80
,,,,
,MoCo,,,
,linear,XGBoost,MLP,RF
224,50.03% +/-0.32,58.31% +/-2.51,53.86% +/-3.63,62.58% +/-0.83
448,49.94% +/-0.43,56.84% +/-1.82,58.41% +/-6.57,60.05% +/-1.46
672,49.88% +/-0.92,57.21% +/-2.37,64.83% +/-7.05,59.76% +/-1.37
896,49.56% +/-1.15,56.66% +/-2.74,64.70% +/-7.40,61.11% +/-2.39
1120,49.89% +/-1.54,56.43% +/-3.21,63.03% +/-8.74,57.57% +/-2.79
,,,,
,SimCLR,,,
,linear,XGBoost,MLP,RF
224,50.09% +/-0.33,61.91% +/-2.32,67.81% +/-3.36,68.99% +/-0.70
448,50.51% +/-0.57,69.11% +/-3.66,74.54% +/-3.75,70.86% +/-1.42
672,49.25% +/-1.01,69.94% +/-4.06,72.96% +/-5.01,61.96% +/-1.49
896,49.70% +/-1.67,68.44% +/-3.69,67.44% +/-7.83,56.11% +/-1.29
1120,50.71% +/-1.56,68.04% +/-4.41,64.40% +/-7.54,54.42% +/-1.57
,,,,
,SimSiam,,,
,linear,XGBoost,MLP,RF
224,49.97% +/-0.30,56.42% +/-1.58,60.44% +/-2.30,57.52% +/-0.35
448,50.62% +/-0.74,62.07% +/-2.79,68.61% +/-1.91,67.83% +/-0.90
672,50.87% +/-0.61,60.41% +/-2.79,71.07% +/-2.83,65.73% +/-1.67
896,49.93% +/-1.50,58.36% +/-3.27,66.51% +/-3.42,60.71% +/-1.76
1120,48.55% +/-1.97,53.33% +/-2.45,56.17% +/-3.14,53.56% +/-1.64
,,,,
,TripletBig,,,
,linear,XGBoost,MLP,RF
224,49.86% +/-0.31,67.18% +/-1.20,68.93% +/-2.80,68.46% +/-0.36
448,50.70% +/-0.69,68.14% +/-1.90,75.12% +/-3.76,70.70% +/-0.63
672,50.21% +/-0.99,66.92% +/-2.44,70.67% +/-5.63,66.52% +/-1.24
896,50.02% +/-1.06,67.79% +/-2.85,70.11% +/-7.52,66.64% +/-1.62
1120,50.85% +/-1.89,64.38% +/-3.61,65.57% +/-7.70,59.75% +/-2.02
,,,,
,Triplet,,,
,linear,XGBoost,MLP,RF
224,50.56% +/-0.43,67.99% +/-1.50,70.98% +/-2.88,73.05% +/-0.46
448,50.67% +/-0.56,71.26% +/-2.23,79.50% +/-2.03,78.69% +/-0.70
672,49.87% +/-0.63,65.81% +/-3.16,74.75% +/-3.43,67.19% +/-1.14
896,50.27% +/-2.06,61.78% +/-3.35,67.79% +/-3.27,60.57% +/-1.55
1120,49.80% +/-1.51,60.11% +/-3.46,66.57% +/-3.37,57.99% +/-2.19
,,,,
