,BYOL,,,
,linear,XGBoost,MLP,RF
224,50.40% +/-0.26,57.14% +/-2.31,64.66% +/-2.97,58.14% +/-0.77
448,48.55% +/-1.04,59.28% +/-2.00,67.67% +/-2.45,62.58% +/-1.22
672,51.06% +/-1.21,57.48% +/-2.41,62.51% +/-4.08,57.56% +/-1.60
896,49.50% +/-1.46,55.51% +/-1.99,51.23% +/-3.26,56.38% +/-1.65
1120,49.30% +/-1.57,53.36% +/-2.04,50.55% +/-3.62,55.77% +/-2.37
,,,,
,BarlowTwins,,,
,linear,XGBoost,MLP,RF
224,50.12% +/-0.46,61.02% +/-2.50,72.76% +/-2.80,70.68% +/-0.61
448,50.20% +/-1.46,68.71% +/-3.09,74.37% +/-3.75,74.97% +/-0.82
672,49.42% +/-0.74,72.45% +/-3.57,66.41% +/-8.77,69.39% +/-1.33
896,49.64% +/-1.14,66.64% +/-3.23,59.62% +/-7.41,65.76% +/-1.52
1120,52.45% +/-1.38,69.49% +/-4.44,56.66% +/-5.72,59.18% +/-1.68
,,,,
,MoCo,,,
,linear,XGBoost,MLP,RF
224,50.71% +/-0.34,59.70% +/-2.27,66.77% +/-3.60,60.45% +/-0.85
448,50.38% +/-0.56,57.69% +/-2.08,58.15% +/-5.00,60.91% +/-1.26
672,49.26% +/-0.76,58.33% +/-2.35,58.97% +/-5.37,56.36% +/-1.34
896,48.94% +/-0.97,57.11% +/-2.38,57.83% +/-4.88,55.68% +/-1.33
1120,51.43% +/-1.27,57.16% +/-3.37,57.13% +/-5.74,55.93% +/-2.12
,,,,
,SimCLR,,,
,linear,XGBoost,MLP,RF
224,50.26% +/-0.28,63.56% +/-3.10,77.69% +/-3.21,72.64% +/-0.69
448,51.32% +/-0.58,72.40% +/-3.83,78.35% +/-4.16,71.97% +/-1.35
672,48.85% +/-0.68,71.96% +/-3.40,72.43% +/-8.95,66.34% +/-1.73
896,49.87% +/-1.10,71.13% +/-3.99,69.74% +/-8.50,60.42% +/-1.45
1120,49.73% +/-1.25,72.83% +/-3.54,66.39% +/-9.38,62.84% +/-2.39
,,,,
,SimSiam,,,
,linear,XGBoost,MLP,RF
224,50.61% +/-0.51,56.80% +/-1.63,63.42% +/-2.38,60.40% +/-0.58
448,50.86% +/-0.55,58.24% +/-2.12,66.35% +/-2.35,59.78% +/-0.93
672,50.79% +/-0.68,56.78% +/-1.94,64.92% +/-1.87,58.17% +/-0.94
896,49.65% +/-0.91,56.44% +/-2.31,61.59% +/-2.36,57.78% +/-1.01
1120,49.52% +/-1.34,51.89% +/-1.66,54.92% +/-1.99,51.64% +/-0.84
,,,,
,TripletBig,,,
,linear,XGBoost,MLP,RF
224,50.00% +/-0.30,64.62% +/-1.95,73.50% +/-2.76,65.82% +/-0.37
448,50.33% +/-0.80,66.63% +/-2.39,76.26% +/-5.45,66.06% +/-0.88
672,50.49% +/-1.15,69.81% +/-2.89,73.39% +/-7.27,65.24% +/-1.20
896,49.91% +/-1.06,64.43% +/-2.80,66.46% +/-5.66,58.98% +/-1.08
1120,49.42% +/-1.47,60.19% +/-3.48,58.88% +/-4.58,54.20% +/-0.70
,,,,
,Triplet,,,
,linear,XGBoost,MLP,RF
224,50.36% +/-0.29,67.01% +/-2.35,74.05% +/-2.35,75.12% +/-0.43
448,49.83% +/-0.51,69.00% +/-2.43,76.85% +/-2.98,72.88% +/-0.79
672,50.86% +/-0.77,62.87% +/-2.53,71.98% +/-3.01,61.69% +/-1.06
896,50.68% +/-0.72,60.16% +/-2.84,67.46% +/-3.18,56.35% +/-1.05
1120,50.31% +/-1.33,58.88% +/-2.95,65.64% +/-3.44,53.70% +/-1.13
,,,,
