,BYOL,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.586 +/- 0.084,0.547 +/- 0.085,0.039,0.346 +/- 0.149,0.402 +/- 0.170,-0.055
448,0.673 +/- 0.060,0.596 +/- 0.079,0.077,0.147 +/- 0.055,0.194 +/- 0.087,-0.047
672,0.761 +/- 0.059,0.671 +/- 0.094,0.090,0.186 +/- 0.085,0.267 +/- 0.111,-0.080
896,0.809 +/- 0.058,0.733 +/- 0.091,0.075,0.213 +/- 0.096,0.314 +/- 0.145,-0.102
1120,0.794 +/- 0.058,0.733 +/- 0.075,0.061,0.259 +/- 0.082,0.336 +/- 0.109,-0.077
,,,,,,
,BarlowTwins,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.730 +/- 0.077,0.668 +/- 0.088,0.062,0.232 +/- 0.179,0.294 +/- 0.249,-0.062
448,0.876 +/- 0.049,0.758 +/- 0.088,0.118,0.087 +/- 0.371,0.157 +/- 0.519,-0.070
672,0.969 +/- 0.019,0.892 +/- 0.054,0.077,0.017 +/- 0.015,0.058 +/- 0.037,-0.041
896,0.977 +/- 0.010,0.946 +/- 0.025,0.031,0.013 +/- 0.006,0.031 +/- 0.015,-0.018
1120,0.984 +/- 0.008,0.945 +/- 0.026,0.039,0.007 +/- 0.004,0.025 +/- 0.013,-0.018
,,,,,,
,MoCo,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.485 +/- 0.046,0.455 +/- 0.042,0.030,0.002 +/- 0.000,0.002 +/- 0.000,-0.000
448,0.872 +/- 0.022,0.841 +/- 0.032,0.032,0.014 +/- 0.002,0.017 +/- 0.004,-0.003
672,0.867 +/- 0.022,0.807 +/- 0.051,0.060,0.041 +/- 0.008,0.061 +/- 0.018,-0.019
896,0.862 +/- 0.029,0.804 +/- 0.049,0.059,0.053 +/- 0.014,0.075 +/- 0.023,-0.023
1120,0.806 +/- 0.028,0.719 +/- 0.054,0.087,0.098 +/- 0.021,0.143 +/- 0.034,-0.045
,,,,,,
,SimCLR,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.545 +/- 0.097,0.457 +/- 0.085,0.088,0.114 +/- 0.270,0.140 +/- 0.343,-0.026
448,0.884 +/- 0.038,0.744 +/- 0.077,0.140,0.049 +/- 0.019,0.110 +/- 0.045,-0.061
672,0.914 +/- 0.026,0.771 +/- 0.085,0.143,0.041 +/- 0.012,0.108 +/- 0.044,-0.067
896,0.940 +/- 0.020,0.807 +/- 0.076,0.134,0.029 +/- 0.011,0.096 +/- 0.043,-0.067
1120,0.934 +/- 0.018,0.815 +/- 0.070,0.119,0.039 +/- 0.011,0.110 +/- 0.042,-0.071
,,,,,,
,SimSiam,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.819 +/- 0.056,0.791 +/- 0.070,0.028,0.007 +/- 0.004,0.008 +/- 0.006,-0.001
448,0.871 +/- 0.051,0.801 +/- 0.111,0.070,0.021 +/- 0.014,0.034 +/- 0.031,-0.013
672,0.866 +/- 0.055,0.771 +/- 0.134,0.095,0.029 +/- 0.016,0.054 +/- 0.046,-0.025
896,0.871 +/- 0.056,0.782 +/- 0.131,0.088,0.054 +/- 0.025,0.089 +/- 0.056,-0.035
1120,0.809 +/- 0.055,0.757 +/- 0.093,0.052,0.082 +/- 0.018,0.104 +/- 0.037,-0.022
,,,,,,
,TripletBig,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.845 +/- 0.034,0.782 +/- 0.045,0.063,0.001 +/- 0.000,0.001 +/- 0.000,-0.000
448,0.963 +/- 0.012,0.910 +/- 0.035,0.053,0.003 +/- 0.003,0.007 +/- 0.009,-0.004
672,0.976 +/- 0.010,0.908 +/- 0.040,0.067,0.003 +/- 0.003,0.012 +/- 0.013,-0.009
896,0.977 +/- 0.012,0.933 +/- 0.033,0.044,0.004 +/- 0.004,0.011 +/- 0.010,-0.007
1120,0.982 +/- 0.007,0.939 +/- 0.034,0.043,0.004 +/- 0.002,0.013 +/- 0.009,-0.009
,,,,,,
,Triplet,,,,,
,cos positive,cos negative,delta cos,mse positive,mse negative,delta mse
224,0.880 +/- 0.037,0.808 +/- 0.061,0.072,0.135 +/- 0.041,0.223 +/- 0.101,-0.089
448,0.941 +/- 0.025,0.859 +/- 0.072,0.082,0.088 +/- 0.049,0.212 +/- 0.142,-0.124
672,0.936 +/- 0.027,0.861 +/- 0.082,0.074,0.103 +/- 0.055,0.229 +/- 0.170,-0.126
896,0.922 +/- 0.032,0.842 +/- 0.083,0.080,0.192 +/- 0.069,0.406 +/- 0.204,-0.214
1120,0.927 +/- 0.024,0.860 +/- 0.084,0.067,0.164 +/- 0.057,0.322 +/- 0.199,-0.157
,,,,,,
